"crop","collectiondate","genotype","augmented.","modelname","IoU","Dice","Precision","Recall","F1","MAE","Hausdorff","PixelAccuracy"
"sorghum",1,16,"yes","SegFormer",0.8836151,0.9382119,0.887986558387006,0.994459544219109,0.938211943389713,0.019119263,15.2315462117278,0.980880737304688
"sorghum",1,16,"yes","SegFormer",0.86279875,0.9263467,0.864852001269208,0.997255906334936,0.926346709392373,0.023147583,15.2315462117278,0.976852416992188
"sorghum",1,16,"yes","SegFormer",0.87609667,0.93395686,0.878457109959701,0.996942295630358,0.933956836293748,0.020580292,15.1327459504216,0.979419708251953
"sorghum",1,16,"yes","SegFormer",0.8762342,0.934035,0.889385237183578,0.98340476688271,0.934034974495178,0.020275116,15.2315462117278,0.979724884033203
"sorghum",1,17,"no","SegFormer",0.769985,0.870047,0.769985037088918,1,0.870046944979046,0.027561188,20.5182845286832,0.972438812255859
"sorghum",1,17,"no","SegFormer",0.9454457,0.9719579,0.957125431470764,0.987257395261678,0.971957936905358,0.008117676,12.0415945787923,0.99188232421875
"sorghum",1,17,"yes","SegFormer",0.93437964,0.9660768,0.939222328967993,0.994512113505555,0.966076792052946,0.009952545,14.2126704035519,0.990047454833984
"sorghum",1,17,"yes","SegFormer",0.9342704,0.9660184,0.938992645758043,0.994645964395663,0.966018407779107,0.009971619,13.0384048104053,0.990028381347656
"sorghum",1,17,"yes","SegFormer",0.92667747,0.9619435,0.929802648013989,0.996386025967073,0.961943529107708,0.011234283,13.6014705087354,0.988765716552734
"sorghum",1,17,"yes","SegFormer",0.94425565,0.97132874,0.953856873725774,0.989452549859457,0.971328708083675,0.008323669,12.0415945787923,0.991676330566406
"sorghum",1,17,"yes","SegFormer",0.9436861,0.9710273,0.956050228310502,0.98648106009905,0.971027286262006,0.008388519,13.4536240470737,0.991611480712891
"sorghum",1,17,"yes","SegFormer",0.72884524,0.8431584,0.728845226615236,1,0.843158445180408,0.034324646,24.3310501211929,0.965675354003906
"sorghum",1,17,"yes","SegFormer",0.8253849,0.9043407,0.825610380740994,0.999669230133135,0.9043406706439,0.019512177,19.1049731745428,0.980487823486328
"sorghum",1,17,"yes","SegFormer",0.82851464,0.906216,0.82851466155111,1,0.906216044063097,0.019096375,17.464249196573,0.980903625488281
"sorghum",1,17,"yes","SegFormer",0.7468042,0.855052,0.746804174643364,1,0.855051969172029,0.031280518,21.4009345590327,0.968719482421875
"sorghum",1,17,"yes","SegFormer",0.7800716,0.8764497,0.78014710626492,0.999875961299926,0.876449695563932,0.026008606,16.5529453572468,0.973991394042969
"sorghum",1,17,"no","SegFormer",0.8264752,0.9049947,0.827543068088597,0.998441134260405,0.904994729405432,0.032318115,55.659680200303,0.967681884765625
"sorghum",1,17,"yes","SegFormer",0.85534334,0.9220324,0.860533933740753,0.992997476122136,0.922032418522901,0.02589035,55.2268050859363,0.974109649658203
"sorghum",1,17,"yes","SegFormer",0.8611285,0.92538315,0.870019822684994,0.988271391102093,0.925383162845657,0.024570465,55.145262715849,0.975429534912109
"sorghum",1,17,"yes","SegFormer",0.8588919,0.9240902,0.862892838742916,0.994630573563617,0.924090208970321,0.02519226,53.160135440008,0.974807739257812
"sorghum",1,17,"yes","SegFormer",0.8913757,0.94256866,0.901606380334832,0.987430098480724,0.942568644818423,0.018550873,54.4058820349418,0.981449127197266
"sorghum",1,17,"yes","SegFormer",0.8385446,0.91218305,0.84039780664262,0.997377146533379,0.91218303404732,0.029605865,55.659680200303,0.970394134521484
"sorghum",1,18,"no","SegFormer",0.71953166,0.8368926,0.993686906286293,0.722835976085261,0.836892595147031,0.049617767,33.0151480384384,0.950382232666016
"sorghum",1,18,"no","SegFormer",0.9326144,0.9651324,0.94300518134715,0.98832298136646,0.965132399833634,0.007675171,5.3851648071345,0.992324829101562
"sorghum",1,18,"yes","SegFormer",0.8901641,0.94189084,0.890727324496188,0.999290150842946,0.941890806904857,0.013252258,6.32455532033676,0.986747741699219
"sorghum",1,18,"yes","SegFormer",0.93642306,0.96716785,0.953006029285099,0.981756876663709,0.967167832167832,0.0071640015,3.60555127546399,0.992835998535156
"sorghum",1,18,"yes","SegFormer",0.9362425,0.96707153,0.956627426468035,0.977746228926353,0.96707154391631,0.007156372,6.32455532033676,0.992843627929688
"sorghum",1,18,"yes","SegFormer",0.9142885,0.9552254,0.919512675686326,0.993824312333629,0.955225408088423,0.01001358,8.54400374531753,0.989986419677734
"sorghum",1,18,"yes","SegFormer",0.9362629,0.96708244,0.950909090909091,0.983815439219166,0.967082424771042,0.0071983337,5.09901951359278,0.992801666259766
"sorghum",1,18,"yes","SegFormer",0.6931979,0.8188032,0.987459856247133,0.699354475348757,0.818803180359883,0.05450821,21.9317121994613,0.945491790771484
"sorghum",1,18,"yes","SegFormer",0.687745,0.8149869,0.991738617305423,0.691707824278659,0.814986855874021,0.05530548,26.2488094968134,0.944694519042969
"sorghum",1,18,"yes","SegFormer",0.71100897,0.83109903,0.981816571715323,0.72049649077203,0.831099061730863,0.051570892,30.886890422961,0.948429107666016
"sorghum",1,18,"yes","SegFormer",0.7215608,0.8382635,0.994116073816528,0.72465557577333,0.838263484307461,0.049243927,33.0151480384384,0.950756072998047
"sorghum",1,18,"yes","SegFormer",0.7688964,0.86935157,0.985238839959393,0.777857204748289,0.869351539141277,0.041172028,38.9486841883009,0.958827972412109
"sorghum",1,18,"no","SegFormer",0.8951134,0.94465417,0.939998621450234,0.949356073790463,0.944654175180965,0.012191772,13.3416640641263,0.987808227539062
"sorghum",1,18,"yes","SegFormer",0.8934037,0.9437012,0.944556803124346,0.942847198050818,0.943701226309922,0.012329102,8,0.9876708984375
