crop,collectiondate,genotype,individual_id,augmented?,modelname,IoU,Dice,Precision,Recall,F1,MAE,Hausdorff,PixelAccuracy
wheat,1,12,10,no,U-NET,0.8917526,0.9427793,0.9468334636434714,0.9387596899224806,0.9427792915531336,0.001121521,5.385164807134504,0.9988784790039062
wheat,1,12,10,yes,U-NET,0.8886827,0.9410609,0.954183266932271,0.9282945736434108,0.9410609037328095,0.0011444092,6.0,0.9988555908203125
wheat,1,12,10,yes,U-NET,0.88946205,0.9414977,0.9474097331240189,0.9356589147286821,0.9414976599063962,0.0011444092,6.082762530298219,0.9988555908203125
wheat,1,12,10,yes,U-NET,0.74952704,0.85683393,0.9691780821917808,0.767829457364341,0.8568339100346021,0.0025253296,21.18962010041709,0.9974746704101562
wheat,1,12,10,yes,U-NET,0.89163285,0.94271237,0.947884012539185,0.9375968992248062,0.9427123928293063,0.001121521,5.385164807134504,0.9988784790039062
wheat,1,12,10,yes,U-NET,0.8994845,0.94708276,0.9472663823187282,0.9468992248062016,0.9470827679782904,0.0010414124,5.385164807134504,0.9989585876464844
wheat,1,12,1,yes,U-NET,0.93146634,0.9645173,0.9589899713467048,0.970108695652174,0.9645172910662824,0.0015029907,3.1622776601683795,0.9984970092773438
wheat,1,12,1,yes,U-NET,0.8996464,0.94717246,0.927282193682749,0.9679347826086957,0.9471724871476689,0.0022735596,70.71067811865476,0.9977264404296875
wheat,1,12,1,yes,U-NET,0.90600926,0.95068717,0.9428113308391235,0.9586956521739131,0.9506871463217461,0.0020942688,10.63014581273465,0.9979057312011719
wheat,1,12,1,yes,U-NET,0.92610145,0.9616331,0.9675408032275812,0.9557971014492753,0.9616330994258635,0.0016059875,5.0,0.9983940124511719
wheat,1,12,1,yes,U-NET,0.9284592,0.96290267,0.9618582791033984,0.9639492753623189,0.9629026420557365,0.0015640259,3.0,0.9984359741210938
wheat,1,12,5,no,U-NET,0.8959463,0.9451178,0.9572413793103448,0.9332974717590102,0.9451177992646057,0.001537323,9.433981132056603,0.9984626770019531
wheat,1,12,5,yes,U-NET,0.8889747,0.9412246,0.9546334716459198,0.9281871974179666,0.9412246011182327,0.0016441345,10.295630140987,0.9983558654785156
wheat,1,12,5,yes,U-NET,0.88354754,0.9381739,0.9523413688002217,0.9244217321140398,0.9381738774396069,0.0017280579,10.295630140987,0.9982719421386719
wheat,1,12,5,yes,U-NET,0.87852156,0.93533295,0.9574647887323944,0.9142011834319527,0.9353329664281783,0.0017929077,13.892443989449804,0.9982070922851562
wheat,1,12,5,yes,U-NET,0.8949406,0.94455796,0.9569417609715706,0.9324905863367402,0.9445579621304999,0.0015525818,9.433981132056603,0.9984474182128906
wheat,1,12,5,yes,U-NET,0.8651243,0.9276854,0.9106217616580311,0.9454007530930608,0.9276854051200845,0.002090454,12.083045973594572,0.9979095458984375
wheat,1,13,1,no,U-NET,0.9197493,0.9581973,0.9581359621047241,0.9582586427656851,0.9581972985084182,0.0024909973,5.0,0.9975090026855469
wheat,1,13,10,no,U-NET,0.91758466,0.9570213,0.9633754551295781,0.9507503699006552,0.9570212765957447,0.0015411377,8.602325267042627,0.9984588623046875
wheat,1,13,10,yes,U-NET,0.8945995,0.9443679,0.9468763280917977,0.9418727541745932,0.9443679135318428,0.002002716,15.620499351813308,0.9979972839355469
