crop,collectiondate,genotype,augmented?,modelname,IoU,Precision,Recall,F1
sorghum,2,07,no,U-NET,0.9701764,0.9902675337144853,0.9795160698482592,0.9848624599858933
sorghum,2,07,no,U-NET,0.952098,0.954034253791684,0.9978728856996412,0.9754612754124234
sorghum,2,08,no,U-NET,0.86658573,0.9949066697017983,0.8704473599044039,0.9285249558509155
sorghum,2,08,no,U-NET,0.9324443,0.9612695419907298,0.968842788708975,0.9650413076483231
sorghum,2,08,no,U-NET,0.9155333,0.9880662020905924,0.92577025096919,0.9559043505741073
sorghum,2,09,no,U-NET,0.9111304,0.997573972187324,0.9131538248007297,0.9534989648033126
sorghum,2,09,no,U-NET,0.9307934,0.9944415494180997,0.935661364131619,0.9641563982372919
sorghum,2,09,no,U-NET,0.9181025,0.9993099249035925,0.9186849274172482,0.9573028464769016
sorghum,2,10,no,U-NET,0.95582277,0.9875074779181476,0.9675217211419115,0.9774124449243308
sorghum,2,11,no,U-NET,0.8728127,0.9086044071353621,0.9568167252314969,0.9320875359261133
sorghum,2,11,no,U-NET,0.9032956,0.920847818191252,0.9793345105396756,0.9491910683246423
sorghum,2,11,no,U-NET,0.6448966,0.9979885803270179,0.6457359567858042,0.7841181368633915
sorghum,2,12,no,U-NET,0.9667516,0.9834540501029969,0.9827357237715804,0.9830947557208808
sorghum,2,12,no,U-NET,0.9624277,0.986192672376751,0.9755731247697583,0.9808541553890424
sorghum,2,12,no,U-NET,0.9655156,0.9874623151648562,0.9774988157271436,0.9824553050682029
sorghum,2,13,no,U-NET,0.95666707,0.9905758725657813,0.9654541759804918,0.9778537027127155
sorghum,2,13,no,U-NET,0.9662229,0.9710333512489039,0.9948989942903516,0.9828213130243079
sorghum,2,13,no,U-NET,0.96428907,0.970467049324791,0.9934415837721865,0.9818199342192451
sorghum,2,14,no,U-NET,0.9168107,0.9916562802935881,0.9239379374858876,0.9566001502880521
sorghum,2,14,no,U-NET,0.925785,0.9290558163797601,0.99621163967354,0.96146248696399
sorghum,2,14,no,U-NET,0.92825586,0.9333430208419828,0.9941625207296849,0.9627932374701543
sorghum,2,15,no,U-NET,0.8319745,0.9351779912417008,0.8828893408461974,0.9082817403831313
sorghum,2,15,no,U-NET,0.8633038,0.8746616948337043,0.9851812962555253,0.9266377284855243
sorghum,2,16,no,U-NET,0.9400315,0.9578858868039898,0.9805570769110398,0.9690889056428695
sorghum,2,16,no,U-NET,0.9414789,0.9929504560019718,0.9478142205072703,0.9698574730354391
sorghum,2,16,no,U-NET,0.9358822,0.944440157419554,0.9904106817722031,0.966879307961211
sorghum,2,17,no,U-NET,0.9507492,0.9592992010318513,0.990712647080589,0.9747528987749604
sorghum,2,17,no,U-NET,0.9531752,0.9603882887114451,0.9921820240470157,0.9760263074148722
sorghum,2,17,no,U-NET,0.8203097,0.8300818477407781,0.9858517260894171,0.9012858555885263
sorghum,2,18,no,U-NET,0.7481839,0.9978948436350724,0.7493667028550749,0.8559556184053084
sorghum,2,18,no,U-NET,0.7461453,1.0,0.7461453033394457,0.8546199470484699
sorghum,2,18,no,U-NET,0.69942784,0.9204371293396415,0.744435462139585,0.8231333055241047
sorghum,2,19,no,U-NET,0.95147,0.971746318004208,0.9785405127273827,0.9751315809316986
sorghum,2,19,no,U-NET,0.9657367,0.9782620041753654,0.9869155433866892,0.9825697211155379
sorghum,2,19,no,U-NET,0.96639985,0.9732945360491432,0.9927231956383142,0.9829128665026883
sorghum,2,20,no,U-NET,0.8707609,0.9021694000415196,0.9615554818010842,0.9309162962566272
sorghum,2,20,no,U-NET,0.7519157,1.0,0.7519157088122606,0.8583925642427556
sorghum,2,20,no,U-NET,0.85927707,0.9996846596178817,0.8595100634748493,0.9243131067128597
sorghum,2,21,no,U-NET,0.9462116,0.9863611565739225,0.9587555974546311,0.9723624846873226
sorghum,2,21,no,U-NET,0.94166785,0.9683534929647001,0.9715672676837726,0.969957718270158
sorghum,2,21,no,U-NET,0.9628747,0.9826175533138369,0.9795597484276729,0.9810862682698774
sorghum,2,22,no,U-NET,0.9660739,0.9813134311480508,0.9841791891125603,0.9827442209419193
sorghum,2,23,no,U-NET,0.9053221,0.9330265848670757,0.9682431408215856,0.9503087108532322
sorghum,2,23,no,U-NET,0.89340144,0.9945910961120614,0.8977633116341178,0.9436999671016559
sorghum,2,23,no,U-NET,0.8994281,0.9131964809384164,0.9835133598635588,0.9470514887016819
sorghum,2,24,no,U-NET,0.9521979,0.9822327741396853,0.9688859150217464,0.9755136941932475
sorghum,2,24,no,U-NET,0.9649949,0.9778137471046242,0.9865968350509658,0.9821856560191738
sorghum,2,24,no,U-NET,0.96811396,0.980722891566265,0.9868937998772253,0.9837986690124685
sorghum,2,25,no,U-NET,0.92968416,0.98309353260533,0.944789414168667,0.9635609509357612
sorghum,2,25,no,U-NET,0.91618526,0.957153875819514,0.9553669380449218,0.9562595721317318
sorghum,2,25,no,U-NET,0.8481152,0.9831484593837535,0.8606261524579231,0.9178163865150675
sorghum,2,26,no,U-NET,0.8485172,0.8745825743776563,0.9660679479387169,0.9180517243096289
sorghum,2,26,no,U-NET,0.8807446,0.9124644932634925,0.962028794373008,0.9365913680803541
sorghum,2,26,no,U-NET,0.6894052,0.9993549254132509,0.6897121020998739,0.8161513724715463
sorghum,2,27,no,U-NET,0.95514107,0.9775212405227264,0.976591047503045,0.977055922618481
